Run,Distance,Num_Routes,Route
1,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 11 -> 14 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
2,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 22 -> 5 -> 6 -> 26 -> 9 -> 10 -> 8 -> 1
,,,1 -> 14 -> 11 -> 1
3,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 11 -> 14 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
4,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
5,572.87,3,1 -> 14 -> 11 -> 1
,,,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
6,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 14 -> 11 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
7,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
8,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
9,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
10,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 14 -> 11 -> 1
,,,1 -> 22 -> 5 -> 6 -> 26 -> 9 -> 10 -> 8 -> 1
11,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 14 -> 11 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
12,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
13,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
14,572.87,3,1 -> 14 -> 11 -> 1
,,,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
15,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
