Run,Distance,Num_Routes,Route
,,,1 -> 22 -> 5 -> 6 -> 26 -> 9 -> 10 -> 8 -> 1
,,,1 -> 11 -> 14 -> 1
16,571.95,3,1 -> 19 -> 20 -> 21 -> 30 -> 23 -> 18 -> 15 -> 16 -> 17 -> 4 -> 32 -> 3 -> 2 -> 7 -> 12 -> 13 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
17,572.56,3,1 -> 19 -> 20 -> 21 -> 30 -> 23 -> 18 -> 15 -> 16 -> 17 -> 4 -> 32 -> 3 -> 2 -> 7 -> 29 -> 12 -> 13 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 11 -> 14 -> 1
18,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 14 -> 11 -> 1
19,572.87,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 28 -> 1
,,,1 -> 14 -> 11 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
20,571.95,3,1 -> 13 -> 12 -> 7 -> 2 -> 3 -> 32 -> 4 -> 17 -> 16 -> 15 -> 18 -> 23 -> 30 -> 21 -> 20 -> 19 -> 1
,,,1 -> 8 -> 10 -> 9 -> 26 -> 6 -> 5 -> 22 -> 1
,,,1 -> 11 -> 14 -> 1
